Title,Year,Interventions,Subclass,Year2,Decade
"The life of Sir Halliday Macartney: K. C. M. G., commander of Li Hung Chang's trained force in the Taeping rebellion, founder of the first Chinese arsenal, for thirty years councillor and secretary to the Chinese legation in London /",1908.,FALSE,DA,1908,1900s
"Die Vogesen,",1908.,FALSE,DD,1908,1900s
"Ancient Italy : historical and geographical investigations in Central Italy, Magna Graecia, Sicily, and Sardinia /",1908.,FALSE,DG,1908,1900s
"Seven Roman statesmen of the later republic: The Gracchi, Sulla, Crassus, Cato, Pompey, Cæsar /",1908.,FALSE,DG,1908,1900s
Florenz /,1908.,FALSE,DG,1908,1900s
"Prinses Wilhelmina: gemalin van Willem v, prins van Oranje /",1908.,FALSE,DJ,1908,1900s
A history of the Babylonians and Assyrians /,1909 [c1902],FALSE,DS,1909,1900s
"Roma sotterranea cristiana, nuova serie : descrizione analitica dei monumenti esistenti negli antichi cimiteri suburbani .",1909-14.,FALSE,DG,1909,1900s
The collected works of Ambrose Bierce.,1909-1912.,FALSE,PS,1909,1900s
"Trans-Himalaya; discoveries and adventures in Tibet,",1909-1913.,FALSE,DS,1909,1900s
Histoire de Belgique.,1909-1932.,FALSE,DH,1909,1900s
Histoire de Belgique.,1909-1932.,FALSE,DH,1909,1900s
Histoire de Belgique.,1909-1932.,FALSE,DH,1909,1900s
Histoire de Belgique.,1909-1932.,FALSE,DH,1909,1900s
The history of England from the accession of Anne to the death of George II (1702-1760) /,1909.,FALSE,DA,1909,1900s
"Greek lands and letters,",1909.,FALSE,DF,1909,1900s
The Roman forvm; its history and its monuments;,1909.,FALSE,DG,1909,1900s
Holland of today.,1909.,FALSE,DJ,1909,1900s
"A history of Egypt from the earliest times to the Persian conquest,",1909.,FALSE,DT,1909,1900s
Graf Julius Andrássy: sein leben und seine zeit nach ungedruckten quellen /,1910-13.,FALSE,DB,1910,1910s
Rekeningen der stad Nijmegen 1382-1543 /,1910-1919.,FALSE,DJ,1910,1910s
"The last journals of Horace Walpole during the reign of George III, from 1771-1783 /",1910.,FALSE,DA,1910,1910s
Roman cities in Italy and Dalmatia /,1910.,FALSE,DG,1910,1910s
... Pompeji: eine hellenistische stadt in Italien /,1910.,FALSE,DG,1910,1910s
Le Tonkin de 1872 à 1886 : histoire et politique.,1910.,FALSE,DS,1910,1910s
"Nigerian studies; or, The religious and political system of the Yoruba,",1910.,FALSE,DT,1910,1910s
The island of stone money : Uap of the Carolines /,1910.,FALSE,DU,1910,1910s
Chrysomela; a selection from the lyrical poems of Robert Herrick /,1911 [c1877],FALSE,PR,1911,1910s
"Report on the manuscripts of Lord Polwarth, preserved at Mertoun house,",1911-1961.,FALSE,DA,1911,1910s
"Historia de los _eterodoxos españoles,",1911-28.,FALSE,BR,1911,1910s
"Report on the manuscripts of the Earl of Denbigh, preserved at Newnham Paddox, Warwickshire. (Part V.)",1911.,FALSE,DA,1911,1910s
The Empresses of Rome.,1911.,FALSE,DG,1911,1910s
"The diaries of Streynsham Master, 1675-1680, and other contemporary papers relating thereto,",1911.,FALSE,DS,1911,1910s
"Where three empires meet : a narrative of recent travel in Kashmir, western Tibet, Gilgit, and the adjoining countries /",1911.,FALSE,DS,1911,1910s
"The Romanization of Roman Britain,",1912.,FALSE,DA,1912,1910s
"Social France at the time of Philip Augustus,",1912.,FALSE,DC,1912,1910s
"Symbol and satire in the French revolution,",1912.,FALSE,DC,1912,1910s
Sicily : guide book for travellers /,1912.,FALSE,DG,1912,1910s
"A calendar of the court minutes etc. of the East India company, 1644-1649,",1912.,FALSE,DS,1912,1910s
Épopées africaines : ouvrage inédit. /,1912.,FALSE,DT,1912,1910s
"The history of England, from the accession of James the Second,",1913-15.,FALSE,DA,1913,1910s
Dictionnaire d'archéologie chrétienne et de liturgie /,"1913-1953 [v. 1, 1924]",FALSE,BR,1913,1910s
Dictionnaire d'archéologie chrétienne et de liturgie /,"1913-1953 [v. 1, 1924]",FALSE,BR,1913,1910s
Storia critica di Roma dvrante i primi cinqve secoli,1913-20.,FALSE,DG,1913,1910s
Storia critica di Roma dvrante i primi cinqve secoli,1913-20.,FALSE,DG,1913,1910s
"The archaeology of the Anglo-Saxon settlements,",1913.,FALSE,DA,1913,1910s
État politique de l'Inde en 1777 /,1913.,FALSE,DS,1913,1910s
"Specimen extracts from the nine known unprinted mss. of Chaucer's ""Troilus"" and from Caxton's and Thynne's first editions.",1914 (for 1896),FALSE,PR,1914,1910s
Select English historical documents of the ninth and tenth centuries /,1914.,FALSE,DA,1914,1910s
The La Trémoille Family;,1914.,FALSE,DC,1914,1910s
"The life-story of a Russian exile; the remarkable experience of a young girl: being an account of her peasant childhood, her girlhood in prison, her exile to Siberia, and escape from there,",1914.,FALSE,DK,1914,1910s
"Konstantinopel, Balkanstaaten, Kleinasien Archipel, Cypern; Handbuch für Reisende,",1914.,FALSE,DR,1914,1910s
"On the trail of the opium poppy; a narrative of travel in the chief opium-producing provinces of China,",1914.,FALSE,DS,1914,1910s
... Notiziario archeologico .,1915-27.,FALSE,DG,1915,1910s
"The pilgrimage of grace, 1536-1537, and the Exeter conspiracy, 1538 /",1915.,FALSE,DA,1915,1910s
"Traité de la constance èt consolation ès calamitez publiques,",1915.,FALSE,DC,1915,1910s
Imperial Germany and the industrial revolution /,1915.,FALSE,DD,1915,1910s
The Silesian loan and Frederick the Great /,1915.,FALSE,DD,1915,1910s
Römische Kultur im Bilde /,1915.,FALSE,DG,1915,1910s
"The civilization of Babylonia and Assyria; its remains, language, history, religion, commerce, law, art, and literature,",1915.,FALSE,DS,1915,1910s
"Gazetteer of the Persian Gulf, 'Oman, and Central Arabia.",1915.,FALSE,DS,1915,1910s
A history of events in Egypt from 1796 to 1914 /,1915.,FALSE,DT,1915,1910s
The northern Bantu: an account of some central African tribes of the Uganda Protectorate /,1915.,FALSE,DT,1915,1910s
The colonization of Australia (1829-42) : the Wakefield experiment in empire building /,1915.,FALSE,DU,1915,1910s
S. Hilarii episcopi Pictaviensis Opera,1916-,FALSE,BR,1916,1910s
Modern Russian history : being an authoritative and detailed history of Russia from the age of Catherine the Great to the present /,1916-1917.,FALSE,DK,1916,1910s
"History of the Jews in Russia and Poland, from the earliest times until the present day /",1916-20.,FALSE,DS,1916,1910s
The writings of John Muir.,1916-24],FALSE,PS,1916,1910s
The writings of John Muir.,1916-24],FALSE,PS,1916,1910s
"The German empire between two wars; a study of the political and social development of the nation between 1871 and 1914,",1916.,FALSE,DD,1916,1910s
"The Greek house; its history and development from the Neolithic period to the Hellenistic age,",1916.,FALSE,DF,1916,1910s
"The chronicle of John, bishop of Nikiu /",1916.,FALSE,DT,1916,1910s
"De werkzaamheid van du Plessis Mornay in dienst van Hendrik van Navarre, in de jaren 1576 tot 1582.",1917.,FALSE,DC,1917,1910s
"Russia then and now, 1892-1917 : my mission to Russia during the famine of 1891-1892, with data bearing upon Russia of to-day /",1917.,FALSE,DK,1917,1910s
Les origines de Mahé de Malabar /,1917.,FALSE,DS,1917,1910s
"The Hothams; being the chronicles of the Hothams of Scorborough and South Dalton from their hitherto unpublished family papers,",1918.,FALSE,DA,1918,1910s
"The mad monk of Russia, Iliodor; life, memoirs, and confessions of Sergei Michailovich Trufanoff (Iliodor),",1918.,FALSE,DK,1918,1910s
"Ceylon and the Hollanders, 1658-1796,",1918.,FALSE,DS,1918,1910s
The problem of 'The merry wives of Windsor',1918],FALSE,PR,1918,1910s
Willem de Eerste: prins van Oranje /,1919-,FALSE,DH,1919,1910s
My memoirs /,1919.,FALSE,DD,1919,1910s
"War and revolution in Russia, 1914-1917 /",1919.,FALSE,DK,1919,1910s
"Democracy and the Eastern question: the problem of the Far East as demonstrated by the great war, and its relation to the United States of America /",1919.,FALSE,DS,1919,1910s
White shadows in the South seas.,1919.,FALSE,DU,1919,1910s
The social principles of Jesus: by Walter Rauschenbusch ... /,1920 [c1916],FALSE,BS,1920,1920s
"India in ... : a report prepared for presentation to Parliament in accordance with the requirements of the 26th Section of the Government of India Act (5 & 6 Geo. V., Chap. 61)",1920-,FALSE,DS,1920,1920s
Naval operations /,1920-1931.,FALSE,D,1920,1920s
Babylonien & Assyrien .,1920-25.,FALSE,DS,1920,1920s
Slovakia.,1920.,FALSE,DB,1920,1920s
Von Kiel bis Kapp; zur Geschichte der deutschen revolution.,1920.,FALSE,DD,1920,1920s
Venizelos /,1920.,FALSE,DF,1920,1920s
Het voorspel van den eersten Engelschen oorlog /,1920.,FALSE,DJ,1920,1920s
"The way of Saint James,",1920.,FALSE,DP,1920,1920s
"Cashmere, three weeks in a houseboat,",1920.,FALSE,DS,1920,1920s
Report of the commissioners.,1920.,FALSE,DS,1920,1920s
The Egyptian problem /,1920.,FALSE,DT,1920,1920s
The papers of Sir William Johnson /,1921-,FALSE,E,1921,1920s
"A guide to Dorchester and its neighbourhood : containing a synopsis of its British, Roman, and English history; and a description of its public buildings and institutions, revised from the second edition of 1887 by Harry Pouncy.",1921.,FALSE,DA,1921,1920s
Die kretisch-mykenische kultur /,1921.,FALSE,DF,1921,1920s
"Motya, a Phoenician colony in Sicily /",1921.,FALSE,DS,1921,1920s
"Wüsten, Palmen und Basare /",1921.,FALSE,DT,1921,1920s
The plebs in Cicero's day : a study of their provenance and of their employment ... /,1921],FALSE,DG,1921,1920s
The Shakespeare canon .,1922-,FALSE,PR,1922,1920s
"Paris révolutionaire : vieilles maisons, vieux papiers /",1922-1923.,FALSE,DC,1922,1920s
The Cambridge history of India.,1922-1937.,FALSE,DS,1922,1920s
Kommentar zum Neuen Testament : aus Talmud und Midrasch.,1922-28.,FALSE,BS,1922,1920s
Le grand Conti.,1922.,FALSE,DC,1922,1920s
Ancient Greece /,1922.,FALSE,DF,1922,1920s
Osteuropa.,1922.,FALSE,DK,1922,1920s
"From Berlin to Bagdad and Babylon,",1922.,FALSE,DS,1922,1920s
"Mount Everest, the reconnaissance, 1921,",1922.,FALSE,DS,1922,1920s
"Americans in eastern Asia : a critical study of the policy of the United States with reference to China, Japan and Korea in the 19th century /",1922.,FALSE,DS,1922,1920s
"A short guide to the ruined temples in the Prambanan plain, the Diëng plateau, and Gedong Sanga ... /",1922.,FALSE,DS,1922,1920s
Nuraghi di Sardegna /,1922],FALSE,DG,1922,1920s
Works ... /,1804,TRUE,PR,1804,1800s
"Biblia Hebraica digessit, et graviores lectionum varietates",1806,TRUE,BS,1806,1800s
"The plays of Philip Massinger, in four volumes; With notes critical and explanatory /",1813,TRUE,PR,1813,1810s
"The works of John Dryden, now first collected in eighteen volumes.",1821,TRUE,PR,1821,1820s
"The works of John Dryden, now first collected in eighteen volumes.",1821,TRUE,PR,1821,1820s
"The works of John Dryden, now first collected in eighteen volumes.",1821,TRUE,PR,1821,1820s
Works /,1821,TRUE,PR,1821,1820s
The British poets : including translations.,1822,TRUE,PR,1822,1820s
Works ..,1825,TRUE,PR,1825,1820s
"Briani Waltoni, In Biblia polyglotta prolegomena specialia recognovit dathianisque et variorum notis suas immiscuit.",1828,TRUE,BS,1828,1820s
"The miscellaneous works of Edward Gibbon, Esq.: with memoirs of his life and writings,",1837,TRUE,PR,1837,1830s
The simple cobler of Aggawam in America /,1843,TRUE,PS,1843,1840s
"Diaries and correspondence of James Harris, first earl of Malmesbury: containing an account of his missions to the courts of Madrid, Frederick the Great, Catherine the Second, and the Hague and his special missions to Berlin, Brunswick, and the Frenc republic /",1844,TRUE,D,1844,1840s
Letters to young men : founded on the history of Joseph /,1846,TRUE,BV,1846,1840s
"The life and writings of the Rev. George Herbert : with the Synagogue, in imitation of Herbert.",1851,TRUE,PR,1851,1850s
"The poetical works of Charles Churchill; with copious notes and a life of the author,",1854,TRUE,PR,1854,1850s
"The scout, or, The Black Riders of Congaree /",1854,TRUE,PS,1854,1850s
"A vindication of the hymn Te Deum laudamus : from errors and misrepresentations of a thousand years : with translations into various languages, ancient and modern, and a paraphrase in old English, now first printed from the original Ms. /",1858,TRUE,BV,1858,1850s
The poetical works of Thomas Gray.,1859,TRUE,PR,1859,1850s
An ecclesiastical history of Scotland : from the introduction of Christianity to the present time /,1861,TRUE,BR,1861,1860s
Nojoque : a question for a continent .,1867,TRUE,E,1867,1860s
"Commentary on Paul's Epistle to the Romans : with an introduction on the life, times, writings and character of Paul /",1870,TRUE,BS,1870,1870s
Shakespeare's history of King Henry the Eighth /,1872,TRUE,PR,1872,1870s
My roses : the romance of a June day /,1872,TRUE,PS,1872,1870s
Christ the Spirit : being an attempt to state the primitive view of Christianity /,1874,TRUE,BT,1874,1870s
Poetical works of John Milton /,1874,TRUE,PR,1874,1870s
"Observations concerning the Scripture oeconomy of the Trinity and covenant of redemption,",1880,TRUE,BT,1880,1880s
"The diary and letters of Frances Burney, Madame d'Arblay /",1880,TRUE,PR,1880,1880s
"Miscellanies : embracing Nature, Addresses, and Lectures.",1880,TRUE,PS,1880,1880s
"York plays: the plays performed by the crafts or mysteries of York, on the day of Corpus Christi in the 14th, 15th, and 16th centuries /",1885,TRUE,PR,1885,1880s
Life of Amos A. Lawrence : with extracts from his diary and correspondence /,1888,TRUE,E,1888,1880s
The pilot : a tale of the sea /,1891,TRUE,PS,1891,1890s
The prayer that teaches to pray /,1892,TRUE,BV,1892,1890s
"The Spanish story of the Armada, and other essays;",1892,TRUE,D,1892,1890s
"Outlines of the history of dogma,",1893,TRUE,BT,1893,1890s
Geschichte und Kritik der neueren Theologie insbesondere der systematischen seit Schleiermacher /,1894,TRUE,BT,1894,1890s
"In maiden meditation,",1894,TRUE,PS,1894,1890s
The book of Genesis.,1896,TRUE,BS,1896,1890s
"Lauda Sion : or, the liturgical hymns of the church.",1896,TRUE,BV,1896,1890s
Doctor Warrick's daughters : a novel.,1896,TRUE,PS,1896,1890s
"Shakespeare, Puritan and recusant,",1897,TRUE,PR,1897,1890s
"William Shakespeare; a critical study,",1898,TRUE,PR,1898,1890s
Under the beech-tree.,1899,TRUE,PS,1899,1890s
The world before Abraham according to Genesis I-XI.,1901,TRUE,BS,1901,1900s
The poetical writings of Fitz-Greene Halleck: with extracts from those of Joseph Rodman Drake /,1901,TRUE,PS,1901,1900s
Literature & dogma: an essay towards a better apprehension of the Bible /,1903,TRUE,BS,1903,1900s
Boccaccio and Chaucer /,1903,TRUE,PR,1903,1900s
"Judgment, a novel",1903,TRUE,PS,1903,1900s
The souls of black folk : essays and sketches /,1903,TRUE,E,1903,1900s
The sonnets of Shakespeare /,1904,TRUE,PR,1904,1900s
"The life of John A. Andrew, governor of Massachusetts, 1861-1865.",1904,TRUE,E,1904,1900s
The golden bowl /,1904,TRUE,PS,1904,1900s
"The spirit of Christmas,",1905,TRUE,BV,1905,1900s
History of the United States of America /,1905,TRUE,E,1905,1900s
Leading American soldiers /,1907,TRUE,E,1907,1900s
"Sir Fulke Greville's Life of Sir Philip Sidney, etc.: first published 1652 /",1907,TRUE,PR,1907,1900s
Mother /,1907,TRUE,PS,1907,1900s
The Gospel according to St. John; the Greek text with introduction and notes;,1908,TRUE,BS,1908,1900s
The clerkes tale & The squieres tale /,1908,TRUE,PR,1908,1900s
The complete poetical works of James Thomson.,1908,TRUE,PR,1908,1900s
"Letters from colonial children,",1908,TRUE,PS,1908,1900s
Saint Jerome /,1909,TRUE,BR,1909,1900s
"The history of Fuller's Ohio Brigade, 1861-1865; its great march, with roster, portraits, battle maps and biographies.",1909,TRUE,E,1909,1900s
The books of the Old Testament.,1910,TRUE,BS,1910,1910s
"Corpus Christi pageants in England,",1911,TRUE,PR,1911,1910s
A critical and exegetical commentary on the Epistles of St. Paul to the Thessalonians /,1912,TRUE,BS,1912,1910s
Die altisraelitische Religion /,1912,TRUE,BS,1912,1910s
Poems /,1912,TRUE,PS,1912,1910s
"The parables of the Gospels in the light of modern criticism. Hulsean prize essay, 1912,",1913,TRUE,BT,1913,1910s
England's effort : letters to an American friend /,1916,TRUE,D,1916,1910s
"The breath of the dragon,",1916,TRUE,PS,1916,1910s
The Bible devil: a modern interpretation /,1917,TRUE,BT,1917,1910s
The most excellent and lamentable tragedy of Romeo and Juliet /,1917,TRUE,PR,1917,1910s
"God and personality : being the Gifford lectures delivered in the University of Aberdeen in the years 1918 & 1919, first course /",1919,TRUE,BT,1919,1910s
"The spirit : the relation of God and man, considered from the standpoint of recent philosophy and science /",1919,TRUE,BT,1919,1910s
Dutch and British possessions.,1920,TRUE,D,1920,1920s
The frontier in American history /,1920,TRUE,E,1920,1920s
"The story of Opal: the journal of an understanding heart,",1920,TRUE,PS,1920,1920s
History: its theory and practice /,1921,TRUE,D,1921,1920s
Idées sur la philosophe de l'histoire de l'humanité /,1827-28.,TRUE,D,1827,1820s
Ioannis Calvini in Novum Testamentum commentarii /,1834-1838.,TRUE,BS,1834,1830s
The library of American biography.,1834-48.,TRUE,E,1834,1830s
(Die) christliche mystik.,1836-42.,TRUE,BV,1836,1830s
"The Thornton romances : the early English metrical romances of Perceval, Isumbras, Eglamour, and Degrevant, selected from manuscripts at Lincoln and Cambridge /",1844.,TRUE,DA,1844,1840s
Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,1845-50.,TRUE,DP,1845,1840s
Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,1845-50.,TRUE,DP,1845,1840s
Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,1845-50.,TRUE,DP,1845,1840s
Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,1845-50.,TRUE,DP,1845,1840s
Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,1845-50.,TRUE,DP,1845,1840s
The history of the Revival and progress of independency in England : since the period of the Reformation,1847-1849.,TRUE,BR,1847,1840s
"Of the church, five books.",1847-1852.,TRUE,BV,1847,1840s
"The whole works of the Right Rev. Jeremy Taylor, with a life of the author, and a critical examination of his writings,",1847-1855.,TRUE,BR,1847,1840s
"Annals of the queens of Spain: from the period of the conquest of the Goths down to the reign of her present Majesty Isabel II., with the remarkable events that occurred during their reigns; and anecdotes of their courts /",1850.,TRUE,DP,1850,1850s
"Dream life: a fable of the seasons,",1852 [c1851],TRUE,PS,1852,1850s
Recherches sur la topographie des dèmes de l'Attique /,1853.,TRUE,DF,1853,1850s
Mémoires et correspondance de Madame d'Épinay;,1855.,TRUE,DC,1855,1850s
The Rebellion record.,1861-1868.,TRUE,E,1861,1860s
Annales monastici ... /,1864-69.,TRUE,DA,1864,1860s
Römische forschungen /,1864-79.,TRUE,DG,1864,1860s
Letters and other documents illustrating the relations between England and Germany at the commencement of the thirty years' war /,1865-68.,TRUE,DA,1865,1860s
"Social life of the Chinese : with some account of the religious, governmental, educational, and business customs and opinions : with special but not exclusive reference to Fuchchau /",1865.,TRUE,DS,1865,1860s
Journal of a landscape painter in Corsica /,1870.,TRUE,DC,1870,1870s
Handbuch der römischen alterthümer : von Joachim Mauquardt und Theodor Mommsen,1871-88.,TRUE,DG,1871,1870s
The works of Aurelius Augustine ... : A new translation /,1872-[1934],TRUE,BR,1872,1870s
The foreigner in far Cathay.,1873.,TRUE,DS,1873,1870s
"Documents inédits pour servir à l'histoire de la Réforme et de la Ligue: Materiaux pour ""l'histoire de la réaction féodale en France au 16 et 17 s."", t. 2. /",1875.,TRUE,DC,1875,1870s
[Works],1876-1886 [c1851-1882],TRUE,PS,1876,1870s
"Genesis: being the first of the five books of Moses : with the Haphtoroth and five Megilloth, arranged according to the German and Portuguese rituals /",1876-5636.,TRUE,BS,1876,1870s
Geschichte des hellenismus /,1877-78.,TRUE,DF,1877,1870s
Antoine de Bourbon et Jeanne d'Albret : suite de la mariage de Jeanne d'Albret /,1881-1886.,TRUE,DC,1881,1880s
Handbuch der römischen alterthümer /,1881-88.,TRUE,DG,1881,1880s
"Mémoires secrets sur le règne de Louis XIV, la régence et le règne de Louis XV /",1881.,TRUE,DC,1881,1880s
Works: with notes ... and a life of the author /,1882-93.,TRUE,PR,1882,1880s
Conversations and journals in Egypt and Malta /,1882.,TRUE,DT,1882,1880s
"Vetus registrum Sarisberiense, alias dictum Registrum S. Osmundi, episcopi : the register of S. Osmund /",1883-84.,TRUE,DA,1883,1880s
L'Orient /,1884.,TRUE,DS,1884,1880s
Literary essays /,"1888, t.p. 1903.",TRUE,PR,1888,1880s
"New York city and vicinity during the war of 1812-15, being a military, civic and financial local history of that period,",1889-95.,TRUE,E,1889,1880s
American Jewish year book.,1890-2008.,TRUE,E,1890,1890s
The poetical works of Thomas Chatterton.,1891-1901.,TRUE,PR,1891,1890s
"The Tsar and his people ; or, Social life in Russia.",1891.,TRUE,DK,1891,1890s
Four years in Upper Burma.,1892.,TRUE,DS,1892,1890s
The history of the Jews : from the earliest period down to modern times /,1893.,TRUE,DS,1893,1890s
"Greek studies; a series of essays,",1895.,TRUE,DF,1895,1890s
"The influence of sea power upon the French revolution and empire, 1793-1812 /",1898-1905.,TRUE,DC,1898,1890s
The letters and works /,1898.,TRUE,DA,1898,1890s
"Oliver Cromwell, a history : comprising a narrative of his life, with extracts from his letters and speeches, and an account of the political, religious, and military affairs of England during his time /",1899.,TRUE,DA,1899,1890s
The Rhine from Rotterdam to Constance: handbook for travellers /,1900.,TRUE,DD,1900,1900s
"Travels in Tartary, Thibet and China, during the years 1844-5-6,",1900.,TRUE,DS,1900,1900s
The memoirs of the Duke of Saint-Simon on the reign of Louis XIV and the regency /,1901.,TRUE,DC,1901,1900s
The prose works /,1902-1911.,TRUE,PR,1902,1900s
The prose works /,1902-1911.,TRUE,PR,1902,1900s
"Nelson and the Neapolitan Jacobins: documents relating to the suppression of the Jacobin revolution at Naples, June, 1799 /",1903.,TRUE,DA,1903,1900s
Cities of India /,1903.,TRUE,DS,1903,1900s
"The Paston letters, A. D. 1422-1509.",1904.,TRUE,DA,1904,1900s
"Russia, her strength and her weakness : a study of the present conditions of the Russian empire /",1904.,TRUE,DK,1904,1900s
"Bayern zur Römerzeit. Eine historisch-archäologische Forschung,",1905.,TRUE,DD,1905,1900s
"Village, town, and jungle life in India,",1905.,TRUE,DS,1905,1900s
Palestine and Syria with the chief routes through Mesopotamia and Babylonia; handbook for travellers.,1906.,TRUE,DS,1906,1900s
"Madame de Lafayette and her family,",1907.,TRUE,DC,1907,1900s
"Arnhem, omstreeks het midden der vorige eeuw : mit geschiedkundige aanteekeningen /",1907.,TRUE,DJ,1907,1900s
Eskimo papers.,1908-31.,TRUE,E,1908,1900s
De Bataafsche republiek /,1908.,TRUE,DJ,1908,1900s
The Shakespeare apocrypha : being a collection of fourteen plays which have been ascribed to Shakespeare /,1908. (cop. 2 [1929]),TRUE,PR,1908,1900s
Retrospections of an active life.,1909-13.,TRUE,E,1909,1900s
"Northern France, from Belgium and the English channel to the Loire, excluding Paris and its environs: handbook for travellers /",1909.,TRUE,DC,1909,1900s
Paris sous les premiers Capétiens (987-1223) : étude de typographie historique .,1909.,TRUE,DC,1909,1900s
The M. P. for Russia : reminiscences & correspondence of Madame Olga Novikoff /,1909.,TRUE,DK,1909,1900s
"America and the Far Eastern question; an examination of modern phases of the Far Eastern question, including the new activities and policy of Japan, the situation of China, and the relation of the United States of America to the problems involved,",1909.,TRUE,DS,1909,1900s
"The face of China; travels in east, north, central and western China;",1909.,TRUE,DS,1909,1900s
"A history of Egypt from the earliest times to the Persian conquest,",1909.,TRUE,DT,1909,1900s
The ancient history of China to the end of the Chóu dynasty /,1911 [c1908],TRUE,DS,1911,1910s
Onze vorstinnen uit het Huis van Oranje-Nassau in het stadhouderlijk tijdperk /,1911.,TRUE,DJ,1911,1910s
"The surgeon's log, being impressions of the Far East,",1911.,TRUE,DS,1911,1910s
Picturesque Nepal /,1912.,TRUE,DS,1912,1910s
An official guide to eastern Asia; trans-continental connections between Europe and Asia.,1913-,TRUE,DS,1913,1910s
Greater men and women of the Bible /,1913-1916.,TRUE,BS,1913,1910s
Historia de las guerras de los Judíos y de la destrucción del templo y ciudad de Jerusalén /,1913.,TRUE,DS,1913,1910s
A history of the colonization of Africa by alien races /,1913.,TRUE,DT,1913,1910s
"Prussian memories, 1864-1914.",1915.,TRUE,DD,1915,1910s
"Japan to America; a symposium of papers by political leaders and representative citizens of Japan on conditions in Japan and on the relations between Japan and the United States,",1915.,TRUE,DS,1915,1910s
The rise of the Spanish Empire in the Old World and in the New /,1918-1934.,TRUE,DP,1918,1910s
The rise of the Spanish Empire in the Old World and in the New /,1918-1934.,TRUE,DP,1918,1910s
A history of Spain : founded on the Historia de España y de la civilización española of Rafael Altamira /,1918.,TRUE,DP,1918,1910s
Ten days that shook the world /,1919.,TRUE,DK,1919,1910s
"Jewish contributions to civilization; an estimate,",1919.,TRUE,DS,1919,1910s
"India in ... : a report prepared for presentation to Parliament in accordance with the requirements of the 26th Section of the Government of India Act (5 & 6 Geo. V., Chap. 61)",1920-,TRUE,DS,1920,1920s
A Jewish interpretation of the Book of Genesis.,"1920, c1919.",TRUE,BS,1920,1920s
"Discovery in Greek lands; a sketch of the principal excavations and discoveries of the last fifty years,",1920.,TRUE,DF,1920,1920s
"Die Judenfrage auf dem Wiener Kongress, auf Grund von zum Teil ungedruckten Quellen dargestellt von Dr. Salo Baron; hrsg. mit Unterstützung der Historischen Kommission der Israelitischen Kultusgemeinde in Wien.",1920.,TRUE,DS,1920,1920s
"Le Chevalier de Méré, rival de Voiture--aim de Pascal--précepteur de Mme.: Maintenon /",1921.,TRUE,DC,1921,1920s
"Stein and the era of reform in Prussia, 1807-1815 /",1922.,TRUE,DD,1922,1920s
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
